"Date","Price","Open","High","Low","Vol.","Change %"
"01/21/2026","44.90","45.00","44.95","44.70","7.72M","-0.22%"
"01/20/2026","45.00","45.20","45.20","45.00","9.85M","-0.44%"
"01/19/2026","45.20","45.20","45.55","45.20","15.39M","0.00%"
"01/16/2026","45.20","45.00","45.95","45.20","4.60M","0.44%"
"01/15/2026","45.00","45.20","45.70","45.00","18.25M","-0.44%"
"01/14/2026","45.20","45.95","45.75","45.00","10.47M","-1.63%"
"01/13/2026","45.95","44.00","45.95","44.60","8.70M","4.43%"
"01/12/2026","44.00","44.00","44.40","44.00","14.05M","0.00%"
"01/09/2026","44.00","44.30","44.50","43.60","16.72M","-0.68%"
"01/08/2026","44.30","43.90","44.80","43.10","12.22M","0.91%"
"01/07/2026","43.90","43.00","44.00","43.00","8.00M","2.09%"
"01/06/2026","43.00","45.85","46.60","43.00","17.99M","-6.22%"
"01/05/2026","45.85","43.00","46.00","44.00","9.79M","6.63%"
"01/02/2026","43.00","41.65","43.00","42.10","4.34M","3.24%"
"12/31/2025","41.65","40.85","41.70","41.00","5.33M","1.96%"
"12/30/2025","40.85","41.00","42.00","40.85","7.81M","-0.37%"
"12/29/2025","41.00","42.00","41.95","41.00","11.64M","-2.38%"
"12/24/2025","42.00","39.40","42.00","39.10","7.20M","6.60%"
"12/23/2025","39.40","39.00","39.50","39.00","7.49M","1.03%"
"12/22/2025","39.00","40.30","40.30","39.00","10.19M","-2.50%"
"12/19/2025","40.00","41.60","41.20","40.00","6.60M","-3.85%"
"12/18/2025","41.60","39.80","41.60","40.30","3.71M","4.52%"
"12/17/2025","39.80","39.70","40.00","39.50","12.61M","0.25%"
"12/16/2025","39.70","40.00","40.00","39.50","10.49M","-0.75%"
"12/15/2025","40.00","39.70","40.10","39.70","11.41M","0.76%"
"12/12/2025","39.70","40.00","40.00","39.00","17.37M","-0.75%"
"12/11/2025","40.00","40.25","40.40","40.00","5.73M","-0.62%"
"12/10/2025","40.25","40.00","40.50","40.00","8.27M","0.63%"
"12/09/2025","40.00","40.00","40.50","40.00","10.42M","0.00%"
"12/08/2025","40.00","40.00","41.00","40.00","13.55M","0.00%"
"12/05/2025","40.00","39.15","40.95","39.45","5.74M","2.17%"
"12/04/2025","39.15","39.60","39.60","39.10","8.10M","-1.14%"
"12/03/2025","39.60","38.40","39.95","38.30","16.47M","3.12%"
"12/02/2025","38.40","37.00","38.80","37.30","8.51M","3.78%"
"12/01/2025","37.00","36.45","37.00","36.50","9.13M","1.51%"
"11/28/2025","36.45","36.00","36.50","36.00","26.43M","1.25%"
"11/27/2025","36.00","35.90","36.90","36.00","28.22M","0.28%"
"11/26/2025","35.90","35.90","37.40","35.90","39.27M","0.00%"
"11/25/2025","35.90","35.85","36.50","35.80","31.95M","0.14%"
"11/24/2025","35.85","36.90","36.90","35.60","20.14M","-2.85%"
"11/21/2025","36.90","37.00","38.00","36.90","7.10M","-0.27%"
"11/20/2025","37.00","38.00","37.50","37.00","9.61M","-2.63%"
"11/19/2025","38.00","38.90","38.50","38.00","9.88M","-2.31%"
"11/18/2025","38.90","39.90","39.75","38.85","3.61M","-2.51%"
"11/17/2025","39.90","40.00","40.05","39.00","5.68M","-0.25%"
"11/14/2025","40.00","41.00","41.50","38.40","10.79M","-2.44%"
"11/13/2025","41.00","42.15","42.15","40.75","52.97M","6.91%"
"11/12/2025","38.35","38.35","38.35","38.35","19.35M","9.89%"
"11/11/2025","34.90","38.05","38.15","34.25","20.58M","-8.28%"
"11/10/2025","38.05","40.00","40.00","38.05","7.88M","-4.88%"
"11/07/2025","40.00","41.00","41.00","40.00","15.92M","-2.44%"
"11/06/2025","41.00","40.45","41.00","39.95","21.67M","1.36%"
"11/05/2025","40.45","39.50","40.50","39.95","22.59M","2.41%"
"11/04/2025","39.50","40.50","40.50","39.50","18.99M","-2.47%"
"11/03/2025","40.50","40.05","40.85","40.50","136.84M","1.12%"
"10/31/2025","40.05","39.75","40.05","39.75","7.90M","0.75%"
"10/30/2025","39.75","39.00","40.55","39.75","12.65M","1.92%"
"10/29/2025","39.00","39.60","39.60","39.00","8.63M","-1.52%"
"10/28/2025","39.60","40.20","40.35","39.50","9.23M","-1.49%"
"10/27/2025","40.20","42.00","41.70","40.00","15.31M","-4.29%"
"10/24/2025","42.00","42.60","42.85","42.00","5.55M","-1.41%"
"10/23/2025","42.60","42.80","43.20","42.60","10.38M","-0.47%"
"10/22/2025","42.80","42.95","42.95","42.60","12.36M","-0.35%"
"10/21/2025","42.95","42.95","43.20","42.70","13.38M","0.00%"
"10/20/2025","42.95","42.00","43.60","42.00","13.20M","2.26%"
"10/17/2025","42.00","42.00","42.20","42.00","59.18M","0.00%"
"10/16/2025","42.00","42.40","42.30","42.00","14.80M","-0.94%"
"10/15/2025","42.40","42.30","42.45","42.25","12.96M","0.24%"
"10/14/2025","42.30","42.80","43.00","42.10","13.94M","-1.17%"
"10/13/2025","42.80","42.80","43.00","42.80","8.07M","0.00%"
"10/10/2025","42.80","42.25","43.00","42.25","10.39M","1.30%"
"10/09/2025","42.25","42.40","42.35","42.25","5.12M","-0.35%"
"10/08/2025","42.40","42.45","42.50","42.25","9.75M","-0.12%"
"10/07/2025","42.45","42.15","42.45","42.15","9.97M","0.71%"
"10/06/2025","42.15","42.75","42.85","42.15","9.29M","-1.98%"
"10/03/2025","43.00","43.00","43.15","42.85","80.10M","0.00%"
"10/02/2025","43.00","43.20","43.35","42.95","152.14M","-0.46%"
"09/30/2025","43.20","44.40","44.45","42.95","17.33M","-2.70%"
"09/29/2025","44.40","44.90","44.90","44.00","15.04M","-1.11%"
"09/26/2025","44.90","43.80","45.00","44.80","17.54M","2.51%"
"09/25/2025","43.80","43.75","43.80","43.60","21.16M","0.11%"
"09/24/2025","43.75","43.00","44.00","42.90","16.91M","1.74%"
"09/23/2025","43.00","43.00","43.00","42.75","23.27M","0.00%"
"09/22/2025","43.00","44.20","44.65","43.00","31.98M","-2.71%"
"09/19/2025","44.20","42.30","45.70","42.30","82.05M","-5.96%"
"09/18/2025","47.00","47.00","47.30","47.00","11.22M","0.00%"
"09/17/2025","47.00","47.25","47.65","47.00","23.22M","-0.53%"
"09/16/2025","47.25","48.35","48.95","47.10","26.22M","-2.28%"
"09/15/2025","48.35","48.70","49.50","48.35","14.21M","-0.72%"
"09/12/2025","48.70","48.10","49.30","48.50","8.13M","1.25%"
"09/11/2025","48.10","47.00","48.10","47.30","27.27M","2.34%"
"09/10/2025","47.00","46.95","47.00","47.00","8.52M","0.11%"
"09/09/2025","46.95","46.75","48.75","46.95","10.14M","0.43%"
"09/08/2025","46.75","46.75","48.00","46.60","12.78M","0.00%"
"09/04/2025","46.75","45.75","46.80","45.90","12.40M","2.19%"
"09/03/2025","45.75","46.70","46.05","45.60","33.43M","-2.03%"
"09/02/2025","46.70","47.25","47.45","46.50","14.60M","-1.16%"
"09/01/2025","47.25","48.65","48.55","47.20","11.89M","-2.88%"
"08/29/2025","48.65","48.80","48.75","48.50","7.85M","-0.31%"
"08/28/2025","48.80","49.50","49.50","48.70","9.46M","-1.41%"
"08/27/2025","49.50","48.40","49.50","48.55","6.87M","2.27%"
"08/26/2025","48.40","47.95","48.50","48.10","9.49M","0.94%"
"08/25/2025","47.95","47.95","48.10","47.95","14.23M","0.00%"
"08/22/2025","47.95","48.00","48.05","47.95","18.97M","-0.10%"
"08/21/2025","48.00","48.00","48.50","48.00","12.52M","0.00%"
"08/20/2025","48.00","48.00","48.55","48.00","12.87M","0.00%"
"08/19/2025","48.00","47.95","48.10","48.00","15.59M","0.10%"
"08/18/2025","47.95","48.00","48.45","47.50","16.20M","-0.10%"
"08/15/2025","48.00","48.30","48.70","48.00","13.99M","-0.62%"
"08/14/2025","48.30","48.05","48.50","48.20","11.25M","0.52%"
"08/13/2025","48.05","48.70","49.00","48.00","22.31M","-1.33%"
"08/12/2025","48.70","48.10","48.90","48.05","17.85M","1.25%"
"08/11/2025","48.10","48.60","48.75","48.00","17.99M","-1.03%"
"08/08/2025","48.60","48.45","48.60","48.30","36.07M","0.31%"
"08/07/2025","48.45","48.10","48.45","48.25","18.97M","0.73%"
"08/06/2025","48.10","48.90","49.00","47.95","35.09M","-1.64%"
"08/05/2025","48.90","48.90","49.40","48.90","12.90M","0.00%"
"08/04/2025","48.90","49.25","49.70","48.80","13.01M","-0.71%"
"08/01/2025","49.25","49.60","50.00","49.10","28.79M","-0.71%"
"07/31/2025","49.60","48.00","49.90","48.00","26.60M","3.33%"
"07/30/2025","48.00","47.80","48.10","47.05","25.96M","0.42%"
"07/29/2025","47.80","46.65","47.80","46.70","22.50M","2.47%"
"07/28/2025","46.65","47.00","47.00","46.50","14.65M","-0.74%"
"07/25/2025","47.00","46.55","47.20","46.70","15.08M","0.97%"
"07/24/2025","46.55","46.70","46.75","46.50","73.09M","-0.32%"
"07/23/2025","46.70","46.70","47.05","46.50","18.21M","0.00%"
"07/22/2025","46.70","45.85","48.00","45.85","48.28M","1.85%"
"07/21/2025","45.85","46.05","46.00","45.40","32.89M","-0.43%"
"07/18/2025","46.05","46.00","46.50","45.90","36.61M","0.11%"
"07/17/2025","46.00","50.50","50.00","45.85","62.48M","-8.85%"
"07/16/2025","50.46","45.97","50.51","44.97","157.65M","9.78%"
"07/14/2025","45.97","43.52","46.92","40.97","68.84M","5.63%"
"07/11/2025","43.52","39.97","43.52","39.97","73.08M","9.90%"
"07/10/2025","39.60","36.00","39.60","36.00","64.51M","10.00%"
"07/09/2025","36.00","36.95","37.00","36.00","21.78M","-2.57%"
"07/08/2025","36.95","36.50","36.95","36.55","12.00M","1.23%"
"07/07/2025","36.50","36.40","37.00","36.40","7.62M","0.27%"
"07/04/2025","36.40","36.65","36.50","36.10","8.85M","-0.68%"
"07/03/2025","36.65","35.65","36.65","36.00","13.24M","2.81%"
"07/02/2025","35.65","35.50","36.70","35.45","9.83M","0.42%"
"07/01/2025","35.50","35.40","36.85","35.50","4.05M","0.28%"
"06/30/2025","35.40","35.35","36.40","35.00","15.29M","0.14%"
"06/27/2025","35.35","36.00","37.00","35.25","16.29M","-1.81%"
"06/26/2025","36.00","36.30","36.30","35.10","14.09M","-0.83%"
"06/25/2025","36.30","34.80","36.40","34.85","25.32M","4.31%"
"06/24/2025","34.80","34.90","35.10","34.80","33.68M","-0.29%"
"06/23/2025","34.90","34.40","34.95","34.40","10.95M","1.45%"
"06/20/2025","34.40","35.00","35.35","34.00","20.81M","-1.71%"
"06/19/2025","35.00","34.00","35.60","34.40","23.85M","2.94%"
"06/18/2025","34.00","32.20","34.30","33.00","42.99M","5.59%"
"06/17/2025","32.20","34.10","34.10","31.65","65.16M","-5.57%"
"06/16/2025","34.10","35.00","35.00","32.55","91.36M","-5.67%"
"06/13/2025","36.15","35.55","36.35","35.85","14.67M","1.69%"
"06/11/2025","35.55","36.80","37.00","35.00","36.55M","-3.13%"
"06/10/2025","36.70","36.00","38.45","35.00","29.37M","1.94%"
"06/05/2025","36.00","34.70","36.50","34.80","20.69M","3.75%"
"06/04/2025","34.70","34.50","34.70","34.60","57.11M","0.58%"
"06/03/2025","34.50","34.70","34.70","34.50","55.74M","-0.58%"
"06/02/2025","34.70","34.70","35.00","34.30","17.19M","0.00%"
"05/30/2025","34.70","34.70","35.50","34.55","1.41B","0.00%"
"05/29/2025","34.70","34.70","34.70","34.60","82.57M","0.00%"
"05/28/2025","34.70","34.85","34.85","34.60","20.54M","-0.43%"
"05/27/2025","34.85","34.40","34.85","34.00","17.37M","1.31%"
"05/26/2025","34.40","34.45","34.75","34.10","13.71M","-0.15%"
"05/23/2025","34.45","33.25","34.50","33.90","45.14M","3.61%"
"05/22/2025","33.25","33.90","34.40","33.00","60.78M","-1.92%"
"05/21/2025","33.90","34.50","34.90","33.90","17.81M","-1.74%"
"05/20/2025","34.50","34.50","34.95","34.50","36.40M","0.00%"
"05/19/2025","34.50","34.90","35.00","34.50","20.59M","-1.15%"
"05/16/2025","34.90","34.90","34.95","34.70","9.58M","0.00%"
"05/15/2025","34.90","34.95","34.90","34.60","8.96M","-0.14%"
"05/14/2025","34.95","34.50","34.95","34.50","18.12M","1.30%"
"05/13/2025","34.50","34.60","34.70","34.40","17.50M","-0.29%"
"05/12/2025","34.60","34.55","34.80","34.50","9.40M","0.14%"
"05/09/2025","34.55","34.50","34.55","34.45","8.59M","0.14%"
"05/08/2025","34.50","34.50","34.50","34.40","18.85M","0.00%"
"05/07/2025","34.50","34.50","34.70","34.00","21.66M","0.00%"
"05/06/2025","34.50","33.90","34.50","33.50","30.73M","1.77%"
"05/05/2025","33.90","34.80","34.90","33.85","11.02M","-2.59%"
"05/02/2025","34.80","35.00","35.00","34.50","35.98M","-0.57%"
"04/30/2025","35.00","35.00","35.00","34.85","38.86M","0.14%"
"04/29/2025","34.95","34.20","35.00","34.20","28.17M","2.19%"
"04/28/2025","34.20","34.00","34.20","33.95","34.53M","0.59%"
"04/25/2025","34.00","34.00","34.00","33.80","14.97M","0.00%"
"04/24/2025","34.00","35.00","35.00","34.00","9.80M","-2.72%"
"04/23/2025","34.95","33.00","35.00","33.20","10.14M","5.91%"
"04/22/2025","33.00","32.10","33.00","32.00","11.39M","2.80%"
"04/17/2025","32.10","31.70","32.10","31.60","13.95M","1.26%"
"04/16/2025","31.70","31.55","31.70","31.35","26.40M","0.48%"
"04/15/2025","31.55","31.35","31.55","31.35","21.97M","0.80%"
"04/14/2025","31.30","32.30","33.40","30.50","33.19M","-11.33%"
"04/11/2025","35.30","35.25","36.05","35.30","17.80M","0.14%"
"04/10/2025","35.25","34.95","35.65","34.85","20.45M","3.52%"
"04/09/2025","34.05","34.95","35.00","34.00","22.56M","-2.58%"
"04/08/2025","34.95","34.05","35.00","34.25","17.00M","2.64%"
"04/07/2025","34.05","36.85","36.75","34.05","19.86M","-7.60%"
"04/04/2025","36.85","36.90","37.00","36.85","26.32M","-0.14%"
"04/03/2025","36.90","36.90","37.00","36.80","33.91M","0.00%"
"04/02/2025","36.90","36.90","37.00","36.90","19.61M","0.00%"
"03/28/2025","36.90","36.85","37.20","36.75","22.27M","0.14%"
"03/27/2025","36.85","37.00","37.10","36.85","15.50M","-0.41%"
"03/26/2025","37.00","36.95","37.20","36.95","11.85M","0.14%"
"03/25/2025","36.95","38.00","38.00","36.95","26.54M","-2.25%"
"03/24/2025","37.80","37.65","39.95","37.65","47.38M","2.72%"
"03/21/2025","36.80","34.80","37.00","35.00","14.69M","5.75%"
"03/20/2025","34.80","34.40","35.05","34.50","10.30M","1.16%"
"03/19/2025","34.40","35.50","35.55","34.40","14.91M","-3.10%"
"03/18/2025","35.50","36.45","36.40","35.50","12.66M","-2.61%"
"03/17/2025","36.45","36.60","36.80","36.45","5.15M","-0.41%"
"03/14/2025","36.60","36.75","36.95","36.50","6.35M","-0.41%"
"03/13/2025","36.75","37.00","37.05","36.75","15.42M","-0.68%"
"03/12/2025","37.00","37.60","37.50","37.00","5.59M","-1.60%"
"03/11/2025","37.60","37.60","37.75","37.50","9.21M","0.00%"
"03/10/2025","37.60","37.95","38.00","37.60","13.10M","-0.92%"
"03/07/2025","37.95","37.00","38.00","37.00","23.99M","2.57%"
"03/06/2025","37.00","36.00","37.00","35.50","19.44M","2.78%"
"03/05/2025","36.00","35.70","36.00","34.00","29.05M","0.84%"
"03/04/2025","35.70","36.00","36.00","35.05","15.25M","-0.83%"
"03/03/2025","36.00","36.80","36.95","36.00","9.23M","-2.17%"
"02/28/2025","36.80","36.80","37.00","36.80","14.23M","0.00%"
"02/27/2025","36.80","36.90","36.90","36.80","7.43M","-0.27%"
"02/26/2025","36.90","36.60","37.05","36.80","8.53M","0.82%"
"02/25/2025","36.60","36.80","36.80","36.60","11.48M","-0.54%"
"02/24/2025","36.80","37.50","37.30","36.80","9.54M","-1.87%"
"02/21/2025","37.50","37.95","37.80","37.00","19.89M","-1.19%"
"02/20/2025","37.95","38.00","38.00","37.85","16.28M","-0.13%"
"02/19/2025","38.00","38.00","38.00","37.80","11.10M","0.00%"
"02/18/2025","38.00","38.35","38.35","37.30","31.38M","-0.91%"
"02/17/2025","38.35","38.70","39.00","38.30","17.87M","-0.90%"
"02/14/2025","38.70","39.00","38.95","38.50","17.43M","-0.77%"
"02/13/2025","39.00","39.30","39.15","38.80","14.92M","-0.76%"
"02/12/2025","39.30","38.80","39.35","38.55","14.64M","1.29%"
"02/11/2025","38.80","38.10","39.00","38.10","17.55M","1.84%"
"02/10/2025","38.10","39.15","39.40","38.00","26.52M","-2.68%"
"02/07/2025","39.15","38.00","39.40","38.00","10.14M","3.03%"
"02/06/2025","38.00","37.75","38.00","37.50","20.45M","0.66%"
"02/05/2025","37.75","37.50","38.00","37.40","29.02M","0.67%"
"02/04/2025","37.50","37.50","37.50","37.40","10.51M","0.00%"
"02/03/2025","37.50","37.70","37.55","37.45","31.58M","-0.53%"
"01/31/2025","37.70","37.75","37.80","37.60","13.17M","-0.13%"
"01/30/2025","37.75","37.70","37.80","37.50","13.82M","0.13%"
"01/29/2025","37.70","37.40","37.70","37.40","13.86M","0.80%"
"01/28/2025","37.40","38.30","37.60","37.20","29.20M","-2.35%"
"01/27/2025","38.30","36.50","38.40","36.50","29.38M","4.93%"
"01/24/2025","36.50","35.00","36.50","35.00","16.79M","4.29%"
"01/23/2025","35.00","34.20","35.00","34.40","37.45M","2.34%"
"01/22/2025","34.20","34.00","34.20","33.95","27.01M","0.59%"
"01/21/2025","34.00","33.90","34.00","33.80","27.88M","0.29%"
"01/20/2025","33.90","33.90","34.10","33.85","12.94M","0.00%"
"01/17/2025","33.90","34.00","34.10","33.80","20.08M","-0.15%"
"01/16/2025","33.95","34.00","34.00","33.90","11.30M","-0.15%"
"01/15/2025","34.00","34.05","34.10","33.95","6.32M","-0.15%"
"01/14/2025","34.05","34.00","34.25","33.95","15.11M","0.15%"
"01/13/2025","34.00","34.20","34.50","34.00","12.61M","-0.58%"
"01/10/2025","34.20","34.20","34.45","34.00","8.51M","0.00%"
"01/09/2025","34.20","34.00","34.35","34.00","11.09M","0.59%"
"01/08/2025","34.00","34.05","34.05","33.70","11.50M","-0.15%"
"01/07/2025","34.05","34.90","34.90","33.65","14.82M","-2.44%"
"01/06/2025","34.90","34.90","35.20","34.80","19.05M","0.00%"
"01/03/2025","34.90","34.20","35.00","34.50","10.97M","2.05%"
"01/02/2025","34.20","34.00","34.25","33.85","12.21M","0.59%"
"12/31/2024","34.00","34.30","34.50","33.90","17.25M","-0.87%"
"12/30/2024","34.30","34.55","34.80","34.20","16.29M","-0.72%"
"12/27/2024","34.55","36.00","36.90","34.55","41.73M","-4.03%"
"12/24/2024","36.00","35.00","37.80","34.20","51.17M","2.86%"
"12/23/2024","35.00","33.75","35.00","33.75","26.38M","3.70%"
"12/20/2024","33.75","33.50","34.45","33.50","43.45M","0.75%"
"12/19/2024","33.50","33.40","33.50","33.40","18.62M","0.30%"
"12/18/2024","33.40","33.35","33.50","33.20","26.22M","0.15%"
"12/17/2024","33.35","33.40","33.50","33.30","15.57M","-0.15%"
"12/16/2024","33.40","33.40","33.60","33.40","17.61M","0.00%"
"12/13/2024","33.40","33.05","33.50","33.20","11.26M","1.06%"
"12/12/2024","33.05","33.35","33.25","33.00","10.26M","-0.90%"
"12/11/2024","33.35","33.30","33.55","33.30","13.95M","0.15%"
"12/10/2024","33.30","33.55","33.80","33.30","28.72M","-0.75%"
"12/09/2024","33.55","33.95","33.95","33.55","27.15M","-1.18%"
"12/06/2024","33.95","33.50","34.00","33.45","42.29M","1.34%"
"12/05/2024","33.50","33.45","33.75","33.45","12.43M","0.15%"
"12/04/2024","33.45","33.40","33.60","33.45","34.03M","0.15%"
"12/03/2024","33.40","33.10","33.95","33.20","31.10M","0.91%"
